Name,SMILES,BA_APO_C1,BA_APO_C2,BA_APO_C3,BA_APO_C4,BA_APO_C5,BA_ATP_C1,Common,Predicted_Mtb_perm,Cytotoxicity HaCat cell line,Cytotoxicity NIH 3T3 cell line,Cytotoxicity HEK 293 cell line,Cytotoxicity HepG2 cell line,Cytotoxicity CRL-7250 cell line,qed_score,sc_score,LogP
curia0442,CCc1c(NC(=O)N2[C@H]3CC[C@@H]2C[C@@]2(C3)NC(=O)N(C2=O)c2cc(ccc2)C(=O)NC)cccc1,-9.919,-7.558,-8.393,-7.091,,-9.243,common_05,1,"('Inactive', '0.84', '0.30')","('Inactive', '0.96', '0.63')","('Inactive', '0.85', '0.38')","('N', '0.86', '0.29')","('Inactive', '0.86', '0.35')",0.5896317731,4.824951349,3.2625
curia4313,Fc1cc(ccc1)N1C[C@H]2OC(=O)N(C3CN(C3)C(=O)Cc3c(F)cccc3)[C@H]2C1,-9.785,-7.81,,-6.902,-7.726,-9.048,common_05,1,"('Inactive', '0.86', '0.33')","('Inactive', '0.93', '0.50')","('Inactive', '0.80', '0.33')","('N', '0.88', '0.33')","('Inactive', '0.86', '0.42')",0.772813167,4.600162002,2.4277
curia5231,Cc1cc(cc(F)c1)c1nc(ccc1)N1C[C@H]2OC(=O)N([C@@H]2C1)C1CCOCC1,-9.755,-7.714,,-7.002,-7.982,-8.933,common_05,1,"('Inactive', '0.81', '0.28')","('Inactive', '0.89', '0.35')","('Inactive', '0.90', '0.37')","('N', '0.84', '0.27')","('Inactive', '0.79', '0.26')",0.7948176323,4.672948747,3.38452
curia2417,Cc1ccc(c(C)c1)S(=O)(=O)N1CCC2(CN(C(=O)O2)c2ccccc2)CC1,-9.626,-8.111,-7.657,,-7.536,-8.289,common_05,1,"('Inactive', '0.86', '0.36')","('Inactive', '0.89', '0.37')","('Inactive', '0.92', '0.54')","('N', '0.82', '0.25')","('Inactive', '0.79', '0.24')",0.7911030916,3.945743689,3.48354
curia7270,CC(=O)N1[C@H]2CC[C@@H]1C[C@H](C2)c1cc(ccn1)C(=O)Nc1ncccc1,-9.573,-8.999,-8.354,-6.792,-7.547,,common_05,1,"('Inactive', '0.86', '0.32')","('Inactive', '0.85', '0.22')","('Inactive', '0.83', '0.30')","('N', '0.89', '0.40')","('Inactive', '0.81', '0.30')",0.9232892792,4.427011329,2.9858
curia7951,Cc1nc2c(o1)cc(cc2)C(=O)N1CCC(CC1)N1CC(OC1=O)c1ccccc1,-9.555,-7.502,-7.841,-7.083,,-8.503,common_05,1,"('Inactive', '0.86', '0.35')","('Inactive', '0.81', '0.20')","('Inactive', '0.82', '0.29')","('N', '0.83', '0.27')","('Inactive', '0.86', '0.43')",0.6598608009,4.785008825,3.93432
curia0445,O=C(NCc1ccco1)N1[C@H]2CC[C@@H]1C[C@@]1(C2)NC(=O)N(C1=O)c1ccccc1,-9.393,,-7.342,-6.603,-7.975,-9.335,common_05,1,"('Inactive', '0.80', '0.26')","('Inactive', '0.81', '0.22')","('Inactive', '0.77', '0.25')","('N', '0.82', '0.25')","('Inactive', '0.82', '0.25')",0.7826458192,4.081633659,2.6112
curia1064,O=S(=O)(Cc1ccccc1)N1CCC2(CC1)c1c(-c3cn(nc23)C2CCOCC2)cccc1,-9.349,-7.424,,-7.504,-8.235,-9.664,common_05,1,"('Inactive', '0.82', '0.29')","('Inactive', '0.85', '0.21')","('Inactive', '0.88', '0.36')","('N', '0.81', '0.24')","('Inactive', '0.79', '0.23')",0.5837488545,4.098094368,4.1269
curia2994,Cc1cc(NC(=O)C2CC3(C2)OC(=O)Nc2ccccc32)ccc1F,-9.247,-7.987,-7.625,,-8.657,-9.237,common_05,1,"('Inactive', '0.86', '0.34')","('Inactive', '0.82', '0.23')","('Inactive', '0.77', '0.24')","('N', '0.81', '0.25')","('Inactive', '0.86', '0.43')",0.8700080145,4.167936304,3.94022
curia7795,CC(=O)N1CCC(CC1)n1c(=O)[nH]c2c(ncnc12)c1ccccc1C,-9.235,,-8.819,-7.294,-7.951,-8.206,common_05,1,"('Inactive', '0.88', '0.34')","('Inactive', '0.93', '0.41')","('Inactive', '0.92', '0.38')","('N', '0.82', '0.25')","('Inactive', '0.89', '0.38')",0.7676028363,3.850641496,2.27842
curia2379,Cc1c(OCC(=O)N2CCC3(C2)CN(C(=O)O3)c2ncccc2)cccc1,-9.217,-7.727,-7.299,,-7.596,-9.06,common_05,1,"('Inactive', '0.89', '0.36')","('Inactive', '0.89', '0.34')","('Inactive', '0.81', '0.34')","('N', '0.82', '0.25')","('Inactive', '0.79', '0.24')",0.8297687795,4.39117977,2.39672
curia2941,Cc1cc(cc(Cl)c1)c1cc(ccc1)c1nn([C@H]2CC[C@@H](C2)C(=O)N)c(=O)o1,-9.107,-8.215,-7.661,-6.875,,-9.188,common_05,1,"('Inactive', '0.78', '0.23')","('Inactive', '0.91', '0.48')","('Inactive', '0.86', '0.42')","('N', '0.82', '0.24')","('Inactive', '0.78', '0.24')",0.7208436308,4.467351069,3.95862
curia1643,Oc1cc(NC(=O)[C@@H]2CN(C[C@H]2c2ccccc2)c2ncccc2)ccc1Cl,-9.057,-7.56,-7.681,-7.105,-7.583,,common_05,1,"('Inactive', '0.85', '0.32')","('Inactive', '0.84', '0.24')","('Inactive', '0.86', '0.33')","('N', '0.83', '0.27')","('Inactive', '0.86', '0.43')",0.6932006874,4.002307592,4.2993
curia0407,O=C1CCc2c(N1)cc(NCc1nc3ccccc3cc1)cc2,-9.052,-8.032,-7.222,-6.629,,-8.879,common_05,1,"('Inactive', '0.93', '0.61')","('Inactive', '0.84', '0.21')","('Inactive', '0.88', '0.36')","('N', '0.91', '0.45')","('Inactive', '0.81', '0.32')",0.7748836908,4.082721976,3.7316
curia6833,COc1ccc(cc1)S(=O)(=O)N1CCC(CC1)c1noc2ccc(cc12)C1CC1,-9.012,,-7.316,-6.697,-7.484,-9.247,common_05,1,"('Inactive', '0.86', '0.41')","('Inactive', '0.88', '0.28')","('Inactive', '0.91', '0.37')","('N', '0.85', '0.33')","('Inactive', '0.83', '0.35')",0.6253152767,4.395706947,4.2821
curia4385,Fc1c(CC(=O)N2CC(C2)N2c3ccccc3CN(CC2=O)c2ccccn2)cccc1,-8.994,-7.726,-7.602,-7.048,-7.905,,common_05,1,"('Inactive', '0.82', '0.28')","('Inactive', '0.91', '0.44')","('Inactive', '0.79', '0.25')","('N', '0.89', '0.38')","('Inactive', '0.80', '0.26')",0.6386346346,4.687621998,3.0274
curia7356,CC(=O)N1CCCC(C1)c1noc2ccc(cc12)c1cc(F)cc(c1)C#N,-8.975,-7.826,-7.69,-6.623,,-8.555,common_05,1,"('Inactive', '0.80', '0.25')","('Inactive', '0.86', '0.24')","('Inactive', '0.92', '0.38')","('N', '0.87', '0.31')","('Inactive', '0.79', '0.25')",0.6830348271,4.726895903,4.23148
