Name,Affinity
dds5_enamine19636,-6.888
dds5_enamine20145,-9.247
dds5_enamine14624,-7.367
dds5_enamine48866,-7.005
dds5_enamine21683,-7.189
hinge_enamine2479,-8.122
ab_enamine5235,-7.154
ab_enamine12713,-7.901
hinge_enamine13936,-6.732
dds5_enamine22655,-8.576
hinge_enamine14541,-8.455
dds5_enamine40777,-5.856
ab_enamine22713,-8.156
dds5_enamine12337,-5.774
dds5_enamine20389,-7.619
dds1_enamine4140,-6.978
dds5_enamine43800,-7.764
hinge_enamine1591,-8.483
psl_enamine2084,-6.596
dds5_enamine10278,-5.856
dds5_enamine27474,-7.902
ab_enamine22378,-8.214
dds5_enamine15695,-7.518
dds5_enamine12571,-6.991
dds5_enamine41710,-7.283
hinge_enamine9016,-8.419
dds5_enamine13163,-7.955
ab_enamine8930,-6.249
ab_enamine14575,-7.692
ab_enamine18845,-6.467
dds1_enamine7762,-7.661
hinge_enamine10210,-7.677
dds5_enamine33083,-7.424
ab_enamine27351,-6.999
dds5_enamine31134,-6.865
hinge_enamine8216,-7.268
hinge_enamine7821,-8.298
dds5_enamine29353,-6.763
dds5_enamine21551,-7.584
dds5_enamine47771,-8.264
dds5_enamine25403,-7.974
dds1_enamine6980,-7.37
hinge_enamine6121,-7.722
dds5_enamine45962,-7.245
hinge_enamine6540,-7.723
dds5_enamine19303,-8.261
dds5_enamine26742,-5.809
ab_enamine22797,-7.431
ab_enamine3754,-7.319
dds5_enamine44365,-7.68
dds5_enamine5411,-6.894
hinge_enamine14390,-7.972
hinge_enamine22217,-7.554
dds5_enamine42826,-7.454
dds5_enamine9878,-7.265
hinge_enamine9804,-7.036
dds5_enamine40221,-7.068
dds5_enamine36721,-6.53
dds5_enamine16981,-6.173
dds1_enamine8492,-6.065
dds5_enamine1490,-6.839
dds5_enamine42939,-7.795
ab_enamine1373,-6.675
dds5_enamine4876,-7.169
dds5_enamine44349,-7.758
dds5_enamine4466,-7.944
ab_enamine1633,-7.283
dds5_enamine28684,-8.98
ab_enamine17765,-6.97
dds5_enamine49203,-7.197
dds5_enamine37967,-7.72
dds1_enamine9150,-7.388
ab_enamine18090,-7.669
dds5_enamine4965,-7.004
hinge_enamine6531,-7.129
dds5_enamine12348,-8.236
ab_enamine24373,-7.403
dds5_enamine46489,-7.823
hinge_enamine1797,-6.945
dds1_enamine5507,-6.914
dds5_enamine8575,-7.637
hinge_enamine11072,-8.191
hinge_enamine10154,-8.738
ab_enamine1063,-6.686
hinge_enamine10078,-7.949
dds5_enamine19622,-9.521
hinge_enamine11051,-8.153
ab_enamine15325,-8.381
dds5_enamine48329,-6.582
dds5_enamine19020,-7.964
dds5_enamine25704,-8.69
hinge_enamine22890,-8.859
dds5_enamine32164,-6.822
hinge_enamine22660,-6.539
dds5_enamine40600,-7.452
hinge_enamine10567,-8.865
dds5_enamine13367,-6.608
dds5_enamine6581,-7.009
ab_enamine17552,-8.044
dds5_enamine28210,-7.711
dds5_enamine36784,-7.388
psl_enamine3261,-7.482
dds5_enamine2090,-8.001
dds5_enamine21390,-8.034
dds5_enamine17812,-7.077
hinge_enamine2030,-8.05
hinge_enamine23697,-7.761
psl_enamine895,-7.544
dds5_enamine48532,-7.414
hinge_enamine17622,-7.649
dds5_enamine48332,-6.573
dds5_enamine38872,-7.425
ab_enamine18199,-8.181
hinge_enamine1455,-9.058
ab_enamine9126,-7.054
dds5_enamine18655,-7.895
ab_enamine19656,-7.978
ab_enamine7936,-7.599
ab_enamine11840,-6.31
dds5_enamine44441,-6.88
ab_enamine28117,-8.166
ab_enamine24072,-6.751
dds5_enamine1316,-7.113
hinge_enamine17076,-7.837
ab_enamine12063,-6.419
psl_enamine870,-8.944
ab_enamine102,-6.711
dds1_enamine5580,-6.838
hinge_enamine5712,-7.375
hinge_enamine4682,-8.115
dds1_enamine2466,-6.89
dds5_enamine19137,-8.315
dds1_enamine8865,-7.031
dds5_enamine16685,-7.34
dds5_enamine33769,-5.772
dds5_enamine17477,-7.181
hinge_enamine16559,-8.097
dds5_enamine16504,-6.358
psl_enamine2969,-6.499
dds5_enamine39191,-7.003
dds5_enamine34553,-6.068
dds5_enamine13422,-7.047
hinge_enamine9919,-7.805
ab_enamine24527,-8.355
dds1_enamine8405,-8.342
dds5_enamine8723,-7.379
dds1_enamine3254,-7.006
dds5_enamine14566,-7.727
dds5_enamine23671,-7.519
hinge_enamine3697,-7.235
